SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
MAA_20230618,Maastricht,18/06/2023,Sunday,56.2,75,145
GRO_20240226,Groningen,26/02/2024,Monday,57.7,73.1,143
ROT_20231031,Rotterdam,31/10/2023,Tuesday,56.9,69.8,141
MAA_20230902,Maastricht,02/09/2023,Saturday,57,74,146
UTR_20240303,Utrecht,03/03/2024,Sunday,63.5,75.7,139
UTR_20231127,Utrecht,27/11/2023,Monday,61.8,74.9,137
MAA_20231110,Maastricht,10/11/2023,Friday,57.3,75.1,138
AMS_20230817,Amsterdam,17/08/2023,Thursday,57.3,74.3,147
AMS_20240111,Amsterdam,11/01/2024,Thursday,56.4,74.2,146
MAA_20240213,Maastricht,13/02/2024,Tuesday,58.4,74.9,141
ROT_20240301,Rotterdam,01/03/2024,Friday,56.1,70.6,135
GRO_20240107,Groningen,07/01/2024,Sunday,55.4,75.8,148
MAA_20240114,Maastricht,14/01/2024,Sunday,56.8,76,144
GRO_20230529,Groningen,29/05/2023,Monday,56.4,75.8,146
MAA_20230423,Maastricht,23/04/2023,Sunday,57.1,74.9,142
AMS_20240322,Amsterdam,22/03/2024,Friday,56.5,75.3,138
UTR_20231220,Utrecht,20/12/2023,Wednesday,62.6,75.1,136
GRO_20230813,Groningen,13/08/2023,Sunday,56.3,75.7,149
UTR_20231230,Utrecht,30/12/2023,Saturday,61.5,74.6,140
GRO_20230702,Groningen,02/07/2023,Sunday,56.8,74.4,147
UTR_20230811,Utrecht,11/08/2023,Friday,63.2,74.5,125
AMS_20230806,Amsterdam,06/08/2023,Sunday,56.4,72.9,143
UTR_20231228,Utrecht,28/12/2023,Thursday,63,73.5,129
MAA_20231021,Maastricht,21/10/2023,Saturday,58,74.2,139
MAA_20240208,Maastricht,08/02/2024,Thursday,56.4,75.7,146
ROT_20230916,Rotterdam,16/09/2023,Saturday,56,70.1,145
ROT_20230620,Rotterdam,20/06/2023,Tuesday,57,70.4,143
MAA_20240316,Maastricht,16/03/2024,Saturday,55.3,75.4,149
UTR_20230917,Utrecht,17/09/2023,Sunday,63.6,74.2,137
AMS_20230521,Amsterdam,21/05/2023,Sunday,57.3,75.3,143
AMS_20231021,Amsterdam,21/10/2023,Saturday,58.5,75.7,143
AMS_20231109,Amsterdam,09/11/2023,Thursday,56.7,76.5,141
AMS_20230529,Amsterdam,29/05/2023,Monday,57.3,75.8,145
UTR_20230615,Utrecht,15/06/2023,Thursday,61.9,76.1,137
GRO_20230908,Groningen,08/09/2023,Friday,57.6,74.5,135
AMS_20230504,Amsterdam,04/05/2023,Thursday,56.8,73.6,143
MAA_20230605,Maastricht,05/06/2023,Monday,56.8,74.6,147
AMS_20231130,Amsterdam,30/11/2023,Thursday,56.2,75.2,144
UTR_20230405,Utrecht,05/04/2023,Wednesday,61.5,75.3,137
UTR_20231002,Utrecht,02/10/2023,Monday,61.9,74.5,137
MAA_20240306,Maastricht,06/03/2024,Wednesday,55.9,74.2,148
UTR_20230508,Utrecht,08/05/2023,Monday,62.5,75.7,138
AMS_20230805,Amsterdam,05/08/2023,Saturday,59.2,74.2,139
MAA_20230425,Maastricht,25/04/2023,Tuesday,56,74.7,144
AMS_20240229,Amsterdam,29/02/2024,Thursday,57.1,74.4,145
GRO_20231105,Groningen,05/11/2023,Sunday,56.9,74.6,144
ROT_20231213,Rotterdam,13/12/2023,Wednesday,56.6,68.9,140
AMS_20240123,Amsterdam,23/01/2024,Tuesday,57.5,76.1,147
AMS_20231101,Amsterdam,01/11/2023,Wednesday,56.7,73.5,143
ROT_20230720,Rotterdam,20/07/2023,Thursday,57.8,70.9,139
AMS_20240317,Amsterdam,17/03/2024,Sunday,57.3,74.4,142
GRO_20230712,Groningen,12/07/2023,Wednesday,56.4,75.6,147
AMS_20230510,Amsterdam,10/05/2023,Wednesday,55.8,76.1,149
AMS_20240114,Amsterdam,14/01/2024,Sunday,56.4,74.6,146
AMS_20230414,Amsterdam,14/04/2023,Friday,57.2,75.7,138
UTR_20230901,Utrecht,01/09/2023,Friday,61.1,75.6,130
UTR_20231028,Utrecht,28/10/2023,Saturday,63.6,74.7,134
UTR_20230612,Utrecht,12/06/2023,Monday,62.4,73.7,137
GRO_20230726,Groningen,26/07/2023,Wednesday,56.8,74.6,143
GRO_20230525,Groningen,25/05/2023,Thursday,57.9,73.8,145
MAA_20231018,Maastricht,18/10/2023,Wednesday,56.1,76.6,147
UTR_20230618,Utrecht,18/06/2023,Sunday,61.9,75.8,137
AMS_20231228,Amsterdam,28/12/2023,Thursday,57.2,76,142
MAA_20230728,Maastricht,28/07/2023,Friday,54.9,75.2,145
AMS_20230707,Amsterdam,07/07/2023,Friday,56.5,74.4,139
MAA_20231014,Maastricht,14/10/2023,Saturday,57.6,74.2,139
UTR_20240214,Utrecht,14/02/2024,Wednesday,62.3,74.4,137
AMS_20231217,Amsterdam,17/12/2023,Sunday,57.2,73.7,144
MAA_20231124,Maastricht,24/11/2023,Friday,56.9,74.4,136
ROT_20240309,Rotterdam,09/03/2024,Saturday,57.4,70,141
ROT_20240316,Rotterdam,16/03/2024,Saturday,58.7,70,138
UTR_20230707,Utrecht,07/07/2023,Friday,63.4,73.7,129
AMS_20230430,Amsterdam,30/04/2023,Sunday,57.3,74.5,145
UTR_20230926,Utrecht,26/09/2023,Tuesday,61.7,75.3,141
MAA_20231111,Maastricht,11/11/2023,Saturday,57.2,75.5,148
GRO_20240309,Groningen,09/03/2024,Saturday,56.7,75.7,144
MAA_20230504,Maastricht,04/05/2023,Thursday,57.2,74.9,145
UTR_20230903,Utrecht,03/09/2023,Sunday,60.8,75.6,141
UTR_20231125,Utrecht,25/11/2023,Saturday,61.8,75.7,138
GRO_20230830,Groningen,30/08/2023,Wednesday,57.9,75.1,143
UTR_20230624,Utrecht,24/06/2023,Saturday,62.7,76.5,136
GRO_20230616,Groningen,16/06/2023,Friday,57.4,75.8,136
ROT_20230607,Rotterdam,07/06/2023,Wednesday,56.8,69.2,141
AMS_20230425,Amsterdam,25/04/2023,Tuesday,57,76.6,141
GRO_20231215,Groningen,15/12/2023,Friday,56.9,75,138
MAA_20230627,Maastricht,27/06/2023,Tuesday,58,75.1,144
MAA_20231231,Maastricht,31/12/2023,Sunday,55.9,74.1,149
MAA_20230717,Maastricht,17/07/2023,Monday,58.9,74.1,139
GRO_20230819,Groningen,19/08/2023,Saturday,56.9,75.2,145
ROT_20230430,Rotterdam,30/04/2023,Sunday,57.6,69,139
AMS_20230708,Amsterdam,08/07/2023,Saturday,57.4,74.3,145
MAA_20240325,Maastricht,25/03/2024,Monday,57.2,75.2,143
ROT_20231217,Rotterdam,17/12/2023,Sunday,58.6,68.8,136
MAA_20230517,Maastricht,17/05/2023,Wednesday,56.4,75.1,149
ROT_20230510,Rotterdam,10/05/2023,Wednesday,56.2,72.1,141
AMS_20240206,Amsterdam,06/02/2024,Tuesday,54.8,75.4,147
ROT_20240331,Rotterdam,31/03/2024,Sunday,57.4,70,139
UTR_20230604,Utrecht,04/06/2023,Sunday,61.9,73.6,134
ROT_20240208,Rotterdam,08/02/2024,Thursday,56.3,69.6,140
ROT_20230914,Rotterdam,14/09/2023,Thursday,56.3,69.8,144
MAA_20230616,Maastricht,16/06/2023,Friday,58.9,74.9,132
AMS_20240327,Amsterdam,27/03/2024,Wednesday,59.1,75.4,143
ROT_20230701,Rotterdam,01/07/2023,Saturday,58.5,69.8,137
ROT_20230629,Rotterdam,29/06/2023,Thursday,56.6,69.1,140
ROT_20231118,Rotterdam,18/11/2023,Saturday,57.2,69.2,139
GRO_20230423,Groningen,23/04/2023,Sunday,57.3,76.3,148
AMS_20230912,Amsterdam,12/09/2023,Tuesday,57.1,74.1,147
ROT_20231201,Rotterdam,01/12/2023,Friday,57.3,69.4,133
AMS_20230420,Amsterdam,20/04/2023,Thursday,56.7,75.3,147
MAA_20240217,Maastricht,17/02/2024,Saturday,57.9,74.9,142
ROT_20230609,Rotterdam,09/06/2023,Friday,58.1,70.5,132
GRO_20230416,Groningen,16/04/2023,Sunday,58.5,74.5,141
AMS_20231016,Amsterdam,16/10/2023,Monday,58,74.5,142
GRO_20240214,Groningen,14/02/2024,Wednesday,57.1,75.1,143
AMS_20230911,Amsterdam,11/09/2023,Monday,57.9,75,146
GRO_20231228,Groningen,28/12/2023,Thursday,56.5,74.5,142
MAA_20231101,Maastricht,01/11/2023,Wednesday,57.9,75.5,144
ROT_20231109,Rotterdam,09/11/2023,Thursday,56.8,70.1,142
UTR_20230716,Utrecht,16/07/2023,Sunday,62.2,78,140
ROT_20230404,Rotterdam,04/04/2023,Tuesday,56.8,70.2,143
ROT_20240314,Rotterdam,14/03/2024,Thursday,58.5,68.4,135
AMS_20240326,Amsterdam,26/03/2024,Tuesday,56.7,74.7,144
ROT_20240227,Rotterdam,27/02/2024,Tuesday,55.9,68.4,143
MAA_20240220,Maastricht,20/02/2024,Tuesday,56.9,75.4,149
UTR_20231122,Utrecht,22/11/2023,Wednesday,60.9,74.5,141
AMS_20230825,Amsterdam,25/08/2023,Friday,55.3,74.9,140
MAA_20240121,Maastricht,21/01/2024,Sunday,56.6,74.9,146
UTR_20230522,Utrecht,22/05/2023,Monday,62.3,74.6,137
GRO_20231108,Groningen,08/11/2023,Wednesday,58.6,75,143
UTR_20231201,Utrecht,01/12/2023,Friday,62.9,76.5,129
UTR_20230812,Utrecht,12/08/2023,Saturday,62.6,74.4,133
GRO_20240120,Groningen,20/01/2024,Saturday,55.8,76.4,146
AMS_20230921,Amsterdam,21/09/2023,Thursday,57.8,73.3,143
ROT_20230829,Rotterdam,29/08/2023,Tuesday,56.8,69.1,138
GRO_20240326,Groningen,26/03/2024,Tuesday,54.6,75.7,149
ROT_20240207,Rotterdam,07/02/2024,Wednesday,56.5,70,138
AMS_20240320,Amsterdam,20/03/2024,Wednesday,58.1,73.3,141
AMS_20240218,Amsterdam,18/02/2024,Sunday,55.6,75.1,145
UTR_20230603,Utrecht,03/06/2023,Saturday,61.1,73.5,136
AMS_20231003,Amsterdam,03/10/2023,Tuesday,56.6,74.5,144
UTR_20240127,Utrecht,27/01/2024,Saturday,62.4,73.7,137
UTR_20230914,Utrecht,14/09/2023,Thursday,62.4,76.1,141
UTR_20240329,Utrecht,29/03/2024,Friday,59.5,76.3,135
ROT_20230410,Rotterdam,10/04/2023,Monday,56.9,70.3,142
UTR_20240321,Utrecht,21/03/2024,Thursday,61.6,75.2,139
ROT_20230419,Rotterdam,19/04/2023,Wednesday,58,69.3,143
ROT_20240320,Rotterdam,20/03/2024,Wednesday,58.1,71.6,138
AMS_20230728,Amsterdam,28/07/2023,Friday,57,74,137
GRO_20230402,Groningen,02/04/2023,Sunday,56.6,75.5,147
MAA_20230611,Maastricht,11/06/2023,Sunday,56.2,75.4,149
ROT_20230913,Rotterdam,13/09/2023,Wednesday,57.6,72.1,141
GRO_20240202,Groningen,02/02/2024,Friday,57,74.5,137
ROT_20230902,Rotterdam,02/09/2023,Saturday,57.9,70.7,139
ROT_20230526,Rotterdam,26/05/2023,Friday,56.9,69.1,132
MAA_20230527,Maastricht,27/05/2023,Saturday,56.9,75.1,143
GRO_20231013,Groningen,13/10/2023,Friday,59.4,72.9,134
AMS_20230620,Amsterdam,20/06/2023,Tuesday,56.2,74.9,147
ROT_20240218,Rotterdam,18/02/2024,Sunday,58,71.2,140
UTR_20231001,Utrecht,01/10/2023,Sunday,63.6,74.5,134
MAA_20230827,Maastricht,27/08/2023,Sunday,57.2,76.4,142
MAA_20240119,Maastricht,19/01/2024,Friday,56.2,74.4,137
ROT_20230909,Rotterdam,09/09/2023,Saturday,57.4,70.7,141
ROT_20230812,Rotterdam,12/08/2023,Saturday,57.8,69.4,137
AMS_20240109,Amsterdam,09/01/2024,Tuesday,56.5,74.4,144
ROT_20231002,Rotterdam,02/10/2023,Monday,56.6,70.3,141
MAA_20231119,Maastricht,19/11/2023,Sunday,57.4,74.1,143
MAA_20230404,Maastricht,04/04/2023,Tuesday,59.1,74,140
MAA_20230521,Maastricht,21/05/2023,Sunday,56.4,72.1,147
ROT_20240125,Rotterdam,25/01/2024,Thursday,56.8,69.3,139
AMS_20230606,Amsterdam,06/06/2023,Tuesday,57.1,73.9,144
MAA_20230505,Maastricht,05/05/2023,Friday,54.5,75.7,142
AMS_20230512,Amsterdam,12/05/2023,Friday,55.6,75.6,144
UTR_20230915,Utrecht,15/09/2023,Friday,63,75.2,131
GRO_20230425,Groningen,25/04/2023,Tuesday,56.5,75.8,143
MAA_20231129,Maastricht,29/11/2023,Wednesday,57.8,75.9,141
GRO_20240201,Groningen,01/02/2024,Thursday,58.1,75.2,143
ROT_20230615,Rotterdam,15/06/2023,Thursday,56.1,69.9,139
UTR_20231224,Utrecht,24/12/2023,Sunday,63.9,75.6,132
GRO_20230718,Groningen,18/07/2023,Tuesday,58.6,75,140
MAA_20230524,Maastricht,24/05/2023,Wednesday,57.2,76,145
GRO_20231002,Groningen,02/10/2023,Monday,56.8,76.1,146
MAA_20240224,Maastricht,24/02/2024,Saturday,57.5,74.6,140
AMS_20230721,Amsterdam,21/07/2023,Friday,56.3,76,139
GRO_20231020,Groningen,20/10/2023,Friday,58.6,75.7,136
AMS_20231208,Amsterdam,08/12/2023,Friday,58.1,74.1,140
UTR_20230831,Utrecht,31/08/2023,Thursday,62.2,75.6,135
GRO_20231001,Groningen,01/10/2023,Sunday,58,75.3,141
AMS_20230725,Amsterdam,25/07/2023,Tuesday,57.2,73.6,140
GRO_20230512,Groningen,12/05/2023,Friday,57.8,74.9,135
GRO_20230626,Groningen,26/06/2023,Monday,56.4,74.5,146
ROT_20230423,Rotterdam,23/04/2023,Sunday,57.6,70.6,142
MAA_20230421,Maastricht,21/04/2023,Friday,55.6,74.3,142
AMS_20230902,Amsterdam,02/09/2023,Saturday,56.3,75.2,145
AMS_20230525,Amsterdam,25/05/2023,Thursday,58.2,74.2,144
MAA_20231127,Maastricht,27/11/2023,Monday,57.8,74.3,142
AMS_20230907,Amsterdam,07/09/2023,Thursday,57.3,78.1,149
UTR_20230906,Utrecht,06/09/2023,Wednesday,62.3,73.4,135
AMS_20240103,Amsterdam,03/01/2024,Wednesday,56.1,74,144
MAA_20240223,Maastricht,23/02/2024,Friday,57.2,76.5,139
ROT_20230516,Rotterdam,16/05/2023,Tuesday,58.7,69.4,139
AMS_20230823,Amsterdam,23/08/2023,Wednesday,56.7,75.7,148
UTR_20240309,Utrecht,09/03/2024,Saturday,60,73.9,143
UTR_20240129,Utrecht,29/01/2024,Monday,61.7,74.7,135
ROT_20231209,Rotterdam,09/12/2023,Saturday,56.7,70.3,142
GRO_20230708,Groningen,08/07/2023,Saturday,57.1,74.5,142
MAA_20231122,Maastricht,22/11/2023,Wednesday,56.5,75.6,146
MAA_20230419,Maastricht,19/04/2023,Wednesday,54.9,75.5,146
ROT_20231218,Rotterdam,18/12/2023,Monday,57,70.3,139
ROT_20230713,Rotterdam,13/07/2023,Thursday,58.3,70.6,140
AMS_20240313,Amsterdam,13/03/2024,Wednesday,56.5,76.1,146
ROT_20231211,Rotterdam,11/12/2023,Monday,55.3,71.3,141
GRO_20240111,Groningen,11/01/2024,Thursday,59,76.3,141
ROT_20230929,Rotterdam,29/09/2023,Friday,55.9,70.4,135
GRO_20230822,Groningen,22/08/2023,Tuesday,57.6,73.1,142
AMS_20240305,Amsterdam,05/03/2024,Tuesday,56.5,74.7,146
GRO_20230522,Groningen,22/05/2023,Monday,57.4,74.5,145
MAA_20240216,Maastricht,16/02/2024,Friday,57.3,73,133
MAA_20230629,Maastricht,29/06/2023,Thursday,56.7,76.3,147
ROT_20230418,Rotterdam,18/04/2023,Tuesday,56.4,68.7,144
MAA_20231211,Maastricht,11/12/2023,Monday,56.4,75.2,146
AMS_20240204,Amsterdam,04/02/2024,Sunday,57.4,76.6,145
MAA_20240120,Maastricht,20/01/2024,Saturday,57.4,77.3,144
AMS_20231230,Amsterdam,30/12/2023,Saturday,58.1,74.5,145
GRO_20230917,Groningen,17/09/2023,Sunday,58.3,75.8,143
AMS_20231103,Amsterdam,03/11/2023,Friday,56.8,75.7,142
UTR_20230815,Utrecht,15/08/2023,Tuesday,62.7,73.9,135
ROT_20240202,Rotterdam,02/02/2024,Friday,58.4,68.7,125
GRO_20230412,Groningen,12/04/2023,Wednesday,56.7,74.7,146
UTR_20230705,Utrecht,05/07/2023,Wednesday,62,75,133
MAA_20230925,Maastricht,25/09/2023,Monday,56,74.6,148
ROT_20230515,Rotterdam,15/05/2023,Monday,59.6,69.2,139
ROT_20230523,Rotterdam,23/05/2023,Tuesday,57.4,69.3,139
